Store Name,Borough,Latitude,Longitude,NTA
JJN CORP,Bronx,40.837956,-73.90315,Claremont-Bathgate
LOS PRIMOS DELI GROCERY,Bronx,40.842792,-73.893526,East Tremont
ZAEL DELI & GROCERY,Bronx,40.854091,-73.898554,Fordham South
FINE FARE SUPERMARKET,Bronx,40.845227,-73.890771,East Tremont
C & T DELI GROCERY STORE,Bronx,40.855028,-73.893336,Claremont-Bathgate
C-TOWN,Bronx,40.850588,-73.901133,Mount Hope
LOS PRIMOS GROCERY,Bronx,40.849462,-73.899949,Mount Hope
269 MINI MARKET & DELI,Bronx,40.851333,-73.902133,Mount Hope
JR 2121 DELI GROCERY,Bronx,40.849172,-73.889446,East Tremont
BBB DELI GROCERY,Bronx,40.853232,-73.901971,Mount Hope
DIAZ DELI GROCERY,Bronx,40.849999,-73.902497,Mount Hope
LA ANTILLANA MEAT WAREHOUSE,Bronx,40.848922,-73.904407,Mount Hope
JADE FOOD CENTER,Bronx,40.837875,-73.901412,Claremont-Bathgate
OJ DELI GROCERY,Bronx,40.84472,-73.907427,Mount Hope
LA BODEGUITA DE ROSAURA,Bronx,40.844817,-73.909238,Mount Hope
EXPRESS MARKET,Bronx,40.847075,-73.898247,Claremont-Bathgate
3 Sisters Deli Grocery,Brooklyn,40.664065,-73.909566,Brownsville
702 Livonia Ave Deli,Brooklyn,40.662769,-73.908984,Brownsville
Chester Food Market,Brooklyn,40.665518,-73.910487,Brownsville
MJT Grocery Store,Brooklyn,40.663255,-73.909106,Brownsville
Blessings Food Corp.,Brooklyn,40.665951,-73.909795,Brownsville
Rockaway Deli Food Corp.,Brooklyn,40.663148,-73.909077,Brownsville
El Especial Deli & Gril,Brooklyn,40.66071,-73.908457,Brownsville
Friendly Food & Grocery,Brooklyn,40.661305,-73.91542,Brownsville
Sanaa Express Grocery,Brooklyn,40.661129,-73.907812,Brownsville
Cherry Valley,Brooklyn,40.669745,-73.906859,Brownsville
Jamao Grocery,Brooklyn,40.665097,-73.913206,Brownsville
Los Primos Grocery,Brooklyn,40.665613,-73.920587,Brownsville
39 Lott Grocery,Brooklyn,,,
51 Deli & Grocery NYC,Brooklyn,40.655828,-73.910331,Brownsville
77 Hegeman Mini Market,Brooklyn,40.655981,-73.909322,Brownsville
